Innings,Player_name,Over_start_number,Runs_Scored,Balls_faced,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner
1,DA Warner,0.1,7,18,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
1,TM Head,0.1,39,39,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
1,SPD Smith,4.4,0,1,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
1,CA Lynn,4.5,16,12,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
1,MR Marsh,9.3,4,17,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
1,GJ Maxwell,13.1,60,56,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
1,MS Wade,16.3,100,99,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
1,JP Faulkner,31.1,5,12,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
1,PJ Cummins,34.1,15,31,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
1,MA Starc,42.7,10,8,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
1,B Stanlake,45.5,1,6,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
2,Azhar Ali,0.1,24,47,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
2,Sharjeel Khan,0.1,18,21,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
2,Mohammad Hafeez,8.2,4,7,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
2,Babar Azam,10.2,33,46,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
2,Umar Akmal,16.6,17,24,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
2,Mohammad Rizwan,25.6,21,42,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
2,Imad Wasim,30.2,29,36,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
2,Mohammad Nawaz (3),38.4,1,9,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
2,Mohammad Amir,40.1,8,10,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
2,Wahab Riaz,41.5,6,8,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
2,Hasan Ali,-1.0,1,1,Australia,Pakistan,"""Brisbane Cricket Ground",Australia,bat,Australia
1,UT Khawaja,0.1,17,20,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
1,DA Warner,0.1,16,22,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
1,SPD Smith,5.7,60,101,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
1,MR Marsh,8.1,0,1,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
1,TM Head,8.6,29,30,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
1,GJ Maxwell,17.3,23,25,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
1,MS Wade,26.3,35,56,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
1,JP Faulkner,42.5,19,20,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
1,MA Starc,43.5,3,5,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
1,PJ Cummins,45.5,0,3,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
1,JR Hazlewood,46.6,0,2,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
2,Mohammad Hafeez,0.1,72,103,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
2,Sharjeel Khan,0.1,29,31,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
2,Babar Azam,14.4,34,48,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
2,Asad Shafiq,30.4,13,29,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
2,Shoaib Malik,31.6,42,51,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
2,Umar Akmal,42.6,18,20,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Pakistan
