iter	Passed	Remaining
0	49	49455
1	50	25269
2	51	17220
3	53	13239
4	54	10841
5	55	9238
6	57	8120
7	58	7261
8	59	6585
9	61	6042
10	62	5596
11	62	5180
12	64	4880
13	65	4629
14	66	4377
15	68	4182
16	69	4017
17	70	3856
18	71	3707
19	72	3562
20	73	3431
21	74	3310
22	75	3202
23	76	3097
24	76	2996
25	77	2903
26	78	2816
27	78	2725
28	79	2653
29	79	2583
30	80	2517
31	81	2461
32	81	2399
33	82	2340
34	82	2285
35	83	2237
36	84	2192
37	84	2146
38	85	2101
39	85	2056
40	86	2015
41	86	1975
42	86	1932
43	87	1893
44	87	1859
45	88	1825
46	88	1793
47	88	1763
48	89	1734
49	89	1703
50	90	1675
51	90	1644
52	90	1617
53	90	1591
54	91	1567
55	91	1544
56	91	1521
57	92	1496
58	92	1475
59	92	1454
60	93	1432
61	93	1413
62	93	1395
63	94	1377
64	94	1359
65	94	1342
66	95	1325
67	95	1309
68	95	1292
69	96	1277
70	96	1262
71	96	1246
72	97	1231
73	97	1217
74	97	1204
75	97	1191
76	98	1178
77	98	1166
78	98	1152
79	99	1140
80	99	1128
81	99	1116
82	100	1105
83	100	1093
84	100	1083
85	100	1072
86	101	1061
87	101	1051
88	101	1041
89	102	1031
90	102	1022
91	102	1012
92	102	1002
93	103	993
94	103	983
95	103	975
96	103	965
97	103	956
98	104	947
99	104	938
100	104	930
101	104	922
102	105	915
103	105	907
104	105	899
105	105	892
106	106	885
107	106	878
108	106	870
109	106	863
110	106	856
111	107	849
112	107	842
113	107	836
114	107	830
115	108	824
116	108	817
117	108	811
118	108	805
119	108	799
120	109	793
121	109	786
122	109	781
123	109	775
124	110	770
125	110	765
126	110	760
127	110	754
128	111	749
129	111	745
130	111	740
131	111	735
132	112	731
133	112	726
134	112	721
135	112	717
136	113	712
137	113	708
138	113	704
139	113	699
140	114	695
141	114	691
142	114	687
143	114	682
144	115	678
145	115	675
146	115	671
147	115	667
148	116	663
149	116	658
150	116	655
151	116	651
152	117	648
153	117	644
154	117	641
155	117	637
156	118	634
157	118	631
158	118	627
159	118	624
160	119	620
161	119	617
162	119	614
163	119	611
164	120	608
165	120	604
166	120	601
167	120	597
168	120	594
169	121	591
170	121	588
171	121	586
172	121	582
173	122	579
174	122	577
175	122	573
176	122	571
177	123	568
178	123	565
179	123	563
180	123	560
181	124	557
182	124	555
183	124	552
184	124	550
185	125	547
186	125	545
187	125	542
188	125	539
189	126	537
190	126	535
191	126	532
192	126	530
193	127	528
194	127	525
195	127	522
196	127	520
197	128	518
198	128	516
199	128	514
200	128	512
201	129	509
202	129	507
203	129	505
204	129	503
205	129	500
206	130	498
207	130	496
208	130	494
209	130	492
210	131	490
211	131	488
212	131	486
213	132	484
214	132	483
215	132	481
216	132	479
217	133	477
218	133	475
219	133	473
220	133	471
221	134	470
222	134	468
223	134	466
224	134	464
225	135	462
226	135	460
227	135	458
228	135	457
229	136	455
230	136	453
231	136	451
232	136	450
233	137	448
234	137	446
235	137	445
236	137	443
237	138	441
238	138	440
239	138	438
240	138	437
241	138	435
242	139	433
243	139	432
244	139	430
245	139	429
246	140	427
247	140	425
248	140	424
249	140	422
250	141	421
251	141	419
252	141	418
253	141	416
254	142	415
255	142	413
256	142	412
257	142	411
258	143	409
259	143	408
260	143	407
261	144	405
262	144	404
263	144	402
264	144	401
265	144	400
266	145	398
267	145	397
268	145	396
269	146	394
270	146	393
271	146	392
272	146	390
273	147	389
274	147	388
275	147	386
276	147	385
277	148	384
278	148	383
279	148	381
280	148	380
281	149	379
282	149	378
283	149	377
284	149	375
285	150	374
286	150	373
287	150	372
288	150	370
289	150	369
290	151	368
291	151	367
292	151	366
293	151	364
294	152	363
295	152	362
296	152	361
297	152	360
298	153	359
299	153	358
300	153	357
301	154	356
302	154	355
303	154	353
304	154	352
305	155	351
306	155	350
307	155	349
308	155	348
309	155	347
310	156	346
311	156	344
312	156	343
313	156	342
314	157	341
315	157	340
316	157	339
317	157	338
318	158	337
319	158	336
320	158	335
321	158	334
322	159	333
323	159	332
324	159	331
325	159	330
326	160	329
327	160	328
328	160	327
329	160	326
330	161	325
331	161	324
332	161	323
333	161	322
334	162	321
335	162	320
336	162	319
337	162	318
338	162	317
339	163	316
340	163	315
341	163	314
342	163	313
343	164	312
344	164	312
345	164	311
346	164	310
347	165	309
348	165	308
349	165	307
350	165	306
351	165	305
352	166	304
353	166	303
354	166	302
355	166	301
356	167	300
357	167	300
358	167	299
359	167	298
360	168	297
361	168	296
362	168	295
363	168	294
364	168	293
365	169	292
366	169	292
367	169	291
368	169	290
369	170	289
370	170	288
371	170	287
372	170	287
373	171	286
374	171	285
375	171	284
376	171	283
377	171	282
378	172	282
379	172	281
380	172	280
381	173	279
382	173	279
383	173	278
384	173	277
385	174	276
386	174	276
387	174	275
