,Unnamed: 0,Innings,Player_name,Over_start_number,Runs_Scored,Balls_faced,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner
38000,4734,1,G Kandela,23.4,17,22,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38001,4735,1,Gladson Kandela,24.2,27,52,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38002,4736,1,T Nyirongo,31.4,8,22,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38003,4737,1,K Omala,38.4,6,17,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38004,4738,2,Sulaimon Runsewe,0.1,36,66,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38005,4739,2,CM Akachukwu,0.1,6,9,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38006,4740,2,AJ Ayannaike,3.3,22,34,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38007,4741,2,Azeez Salako,14.5,7,18,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38008,4742,2,JO Adedeji,19.5,17,25,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38009,4743,2,CN Onwuzulike,23.2,30,30,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38010,4744,2,OJ Bejide,27.3,15,35,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38011,4745,2,OA Olympio,34.3,2,5,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38012,4746,2,IO Okpe,36.1,1,1,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38013,4747,2,A Mene-Ejegi,-1.0,0,0,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38014,4748,2,AS Abioye,-1.0,0,0,Nigeria,Zambia,Willowmoore Park,Zambia,bat,Nigeria
38015,5098,1,MV Waldron,0.1,8,12,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38016,5099,1,L Paul,0.1,14,37,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38017,5100,1,GH Lewis,4.1,12,25,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38018,5101,1,SM Kavanagh,12.5,11,37,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38019,5102,1,L Delany,12.3,10,7,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38020,5103,1,J Gray,16.3,11,19,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38021,5104,1,Rachel Delaney,22.6,12,37,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38022,5105,1,AJ Kenealy,23.6,0,6,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38023,5106,1,L Little,25.1,7,21,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38024,5107,1,L Maritz,33.4,26,32,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38025,5108,1,A Beggs,34.3,10,33,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38026,5109,2,L Tshuma,0.1,5,13,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38027,5110,2,CS Mugeri,0.1,42,87,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38028,5111,2,M Mupachikwa,2.7,37,60,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38029,5112,2,AC Mushangwe,20.6,39,66,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38030,5113,2,M Musonda,34.6,0,3,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38031,5114,2,E Mbofana,35.3,5,9,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38032,5115,2,P Mujaji,38.4,1,7,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38033,5116,2,J Nkomo,-1.0,0,0,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38034,5117,2,T Granger,-1.0,0,0,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38035,5118,2,P Marange,-1.0,0,0,Ireland,Zimbabwe,North-West University No1 Ground,Ireland,bat,Zimbabwe
38036,833,1,Q de Kock,0.1,53,70,India,South Africa,Kennington Oval,India,field,India
38037,834,1,HM Amla,0.1,35,54,India,South Africa,Kennington Oval,India,field,India
38038,835,1,F du Plessis,17.5,36,50,India,South Africa,Kennington Oval,India,field,India
38039,836,1,AB de Villiers,24.3,16,12,India,South Africa,Kennington Oval,India,field,India
38040,837,1,DA Miller,28.3,1,3,India,South Africa,Kennington Oval,India,field,India
38041,838,1,JP Duminy,29.2,20,40,India,South Africa,Kennington Oval,India,field,India
38042,839,1,CH Morris,33.4,4,8,India,South Africa,Kennington Oval,India,field,India
38043,840,1,AL Phehlukwayo,36.6,4,11,India,South Africa,Kennington Oval,India,field,India
38044,841,1,K Rabada,40.2,5,8,India,South Africa,Kennington Oval,India,field,India
38045,842,1,M Morkel,42.3,0,1,India,South Africa,Kennington Oval,India,field,India
38046,843,1,Imran Tahir,42.4,1,7,India,South Africa,Kennington Oval,India,field,India
38047,844,2,RG Sharma,0.1,12,20,India,South Africa,Kennington Oval,India,field,India
38048,845,2,S Dhawan,0.1,78,81,India,South Africa,Kennington Oval,India,field,India
38049,846,2,V Kohli,5.4,76,101,India,South Africa,Kennington Oval,India,field,India
38050,847,2,Yuvraj Singh,30.2,23,25,India,South Africa,Kennington Oval,India,field,India
38051,848,2,B Kumar,-1.0,0,0,India,South Africa,Kennington Oval,India,field,India
38052,849,2,JJ Bumrah,-1.0,0,0,India,South Africa,Kennington Oval,India,field,India
38053,850,2,R Ashwin,-1.0,0,0,India,South Africa,Kennington Oval,India,field,India
38054,851,2,HH Pandya,-1.0,0,0,India,South Africa,Kennington Oval,India,field,India
38055,852,2,RA Jadeja,-1.0,0,0,India,South Africa,Kennington Oval,India,field,India
38056,3703,1,HM Amla,0.1,25,27,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38057,3704,1,M Vohra,0.1,28,19,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38058,3705,1,MP Stoinis,5.2,9,12,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38059,3706,1,GJ Maxwell,7.5,25,14,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38060,3707,1,DA Miller,11.5,28,16,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38061,3708,1,WP Saha,12.2,25,17,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38062,3709,1,MM Sharma,17.5,10,8,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38063,3710,1,AR Patel,17.4,0,1,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38064,3711,1,VR Aaron,18.1,4,5,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
38065,3712,1,Sandeep Sharma,19.6,0,0,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
