,Innings,Player_name,Over_start_number,Runs_Scored,Balls_faced,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner
8129,1,V Sehwag,0.1,5,6,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8130,1,SR Tendulkar,0.1,100,110,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8131,1,IK Pathan,1.2,65,61,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8132,1,MS Dhoni,16.1,68,51,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8133,1,Yuvraj Singh,33.6,39,28,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8134,1,R Dravid,41.6,18,14,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8135,1,AB Agarkar,45.4,3,6,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8136,1,M Kaif,45.1,8,12,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8137,1,Z Khan,47.1,5,3,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8138,1,M Kartik,48.3,1,3,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8139,1,S Sreesanth,49.1,0,0,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8140,2,Salman Butt,0.1,101,111,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8141,2,Kamran Akmal,0.1,25,24,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8142,2,Shoaib Malik,8.1,90,67,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8143,2,Shahid Afridi,31.5,17,15,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8144,2,Mohammad Yousuf,35.5,17,13,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8145,2,Inzamam-ul-Haq,36.6,16,18,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8146,2,Younis Khan,39.6,18,16,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8147,2,Abdul Razzaq,43.3,4,6,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8148,2,Naved-ul-Hasan,44.5,11,11,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8149,2,Mohammad Asif,-1.0,0,0,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8150,2,Umar Gul,-1.0,0,0,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8151,2,Arshad Khan,-1.0,0,0,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8285,1,JM How,0.1,66,88,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8286,1,NJ Astle,0.1,90,104,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8287,1,SP Fleming,25.6,55,46,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8288,1,SB Styris,39.3,36,31,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8289,1,BB McCullum,41.3,2,5,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8290,1,PG Fulton,42.6,7,8,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8291,1,JEC Franklin,45.5,2,4,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8292,1,HJH Marshall,46.5,7,5,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8293,1,SE Bond,49.6,0,1,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8294,1,DL Vettori,49.1,0,0,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8295,1,MJ Mason,-1.0,0,0,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8296,1,JS Patel,-1.0,0,0,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8297,2,CH Gayle,0.1,6,5,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8298,2,D Ganga,0.1,54,75,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8299,2,RS Morton,3.2,0,1,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8300,2,RR Sarwan,4.3,56,83,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8301,2,S Chanderpaul,21.6,18,19,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8302,2,WW Hinds,29.4,3,17,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8303,2,DR Smith,32.4,38,25,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8304,2,D Ramdin,34.6,5,14,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8305,2,RN Lewis,39.5,5,5,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8306,2,IDR Bradshaw,40.6,10,21,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8307,2,FH Edwards,41.2,3,18,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8308,2,JE Taylor,-1.0,0,0,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8329,1,Rajin Saleh,0.1,7,30,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8330,1,Shahriar Nafees,0.1,0,4,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8331,1,Aftab Ahmed,1.4,21,18,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8332,1,Mohammad Ashraful,8.3,4,7,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8333,1,Habibul Bashar,9.3,2,14,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8334,1,Khaled Mashud,10.1,0,1,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8335,1,Khaled Mahmud,10.4,36,60,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8336,1,Mohammad Rafique,16.3,6,18,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8337,1,Alok Kapali,22.3,19,41,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8338,1,Mashrafe Mortaza,29.3,6,16,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8339,1,Syed Rasel,34.3,7,6,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8340,1,Abdur Razzak,-1.0,0,0,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8341,2,J Mubarak,0.1,4,6,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8342,2,ST Jayasuriya,0.1,13,23,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8343,2,KC Sangakkara,1.7,50,58,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8344,2,DPMD Jayawardene,8.3,37,47,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8345,2,CK Kapugedera,20.5,0,5,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8346,2,TM Dilshan,21.6,2,5,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8347,2,KHRK Fernando,23.7,0,1,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8348,2,PDRL Perera,-1.0,0,0,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8349,2,MF Maharoof,-1.0,0,0,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8350,2,CRD Fernando,-1.0,0,0,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8351,2,HMCM Bandara,-1.0,0,0,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
